['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC002310.13', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['AC002472.13', '2', '0', '0', '2', '6', '0', '6', '0.00225846259906012', '1\n']
['AC004076.9', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC004381.6', '2', '0', '0', '2', '156', '0', '156', '0.424695320517187', '1\n']
['AC005841.1', '3', '0', '0', '3', '77', '0', '77', '0.0373529587265029', '1\n']
['AC006372.1', '3', '0', '0', '3', '81', '0', '81', '0.0421896045628652', '1\n']
['AC006538.4', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['AC006967.1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC007040.11', '1', '0', '0', '1', '5', '0', '5', '0.0536666061554807', '1\n']
['AC007557.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC008267.1', '3', '0', '0', '3', '96', '0', '96', '0.0629272948096094', '1\n']
['AC008914.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC009365.3', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC009403.2', '0', '0', '0', '0', '31', '0', '31', '1', '1\n']
['AC010327.2', '2', '0', '0', '2', '18', '0', '18', '0.0142513888939774', '1\n']
['AC011294.3', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['AC011484.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC011551.3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC011997.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC012414.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC013449.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC013469.1', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['AC015660.1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC016251.1', '2', '0', '0', '2', '12', '0', '12', '0.00707756319219289', '1\n']
['AC016885.1', '1', '0', '0', '1', '18', '0', '18', '0.160277835299206', '1\n']
['AC018512.1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC019294.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC020907.1', '3', '0', '0', '3', '30', '0', '30', '0.00339781703056441', '1\n']
['AC020952.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC021218.2', '1', '0', '0', '1', '17', '0', '17', '0.152521307224677', '1\n']
['AC024592.12', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['AC025287.1', '1', '0', '0', '1', '34', '0', '34', '0.275163251789021', '1\n']
['AC068533.7', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC069368.3', '0', '0', '0', '0', '7', '0', '7', '1', '1\n']
['AC073343.1', '5', '0', '0', '5', '585', '0', '585', '0.628145299294711', '1\n']
['AC074091.13', '0', '0', '0', '0', '8', '0', '8', '1', '1\n']
['AC074212.3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC079354.1', '3', '0', '0', '3', '62', '0', '62', '0.0219385997773511', '1\n']
['AC079602.1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC079612.1', '1', '0', '0', '1', '5', '0', '5', '0.0536666061554807', '1\n']
['AC091150.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
