['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATAD3A', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['ATAD3B', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n']
['ATAD3C', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['ATAT1', '2', '0', '0', '2', '31', '0', '31', '0.0366346712838739', '1\n']
['ATF1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATF2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATF4', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATF5', '1', '0', '0', '1', '47', '0', '47', '0.356840477541389', '1\n']
['ATF7IP', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATG16L2', '3', '0', '0', '3', '10', '0', '10', '0.000204083268224768', '1\n']
['ATG2A', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATG2B', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATG4C', '4', '0', '0', '4', '242', '0', '242', '0.189946804797671', '1\n']
['ATG4D', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATG7', '0', '0', '0', '0', '42', '0', '42', '1', '1\n']
['ATG9A', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ATHL1', '3', '0', '0', '3', '25', '0', '25', '0.00211055171736174', '1\n']
['ATIC', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['ATL1', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ATL3', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['ATM', '5', '0', '0', '5', '41', '0', '41', '6.38558681928126e-05', '1\n', '196865']
['ATOH7', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATOX1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATP10A', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['ATP10B', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATP10D', '5', '0', '0', '5', '133', '0', '133', '0.00908287783426906', '1\n', 'ICGC_MB102']
['ATP11A', '1', '0', '0', '1', '4', '0', '4', '0.0449262901275587', '1\n']
['ATP11B', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP12A', '3', '0', '0', '3', '121', '0', '121', '0.105753385233056', '1\n']
['ATP13A1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP13A2', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['ATP13A3', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ATP13A4', '1', '0', '0', '1', '15', '0', '15', '0.136792852516357', '1\n']
['ATP13A5', '8', '0', '0', '8', '1038', '0', '1038', '0.741113770903808', '1\n']
['ATP1A1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATP1A3', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATP1A4', '3', '0', '0', '3', '170', '0', '170', '0.211714284485658', '1\n']
['ATP2A1', '1', '0', '0', '1', '99', '0', '99', '0.601365740969022', '1\n']
['ATP2B1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP2B4', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ATP2C1', '1', '0', '0', '1', '7', '0', '7', '0.0709082307103203', '1\n']
['ATP2C2', '3', '0', '0', '3', '29', '0', '29', '0.00310992398960938', '1\n']
['ATP4A', '2', '0', '0', '2', '1', '0', '1', '0.000249464731258956', '1\n']
['ATP5A1', '2', '0', '0', '2', '107', '0', '107', '0.26330002244705', '1\n']
['ATP5C1', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ATP5H', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP5I', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ATP5L', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP5L2', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['ATP5O', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ATP5S', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP5SL', '2', '0', '0', '2', '2', '0', '2', '0.000495893588449632', '1\n']
['ATP6AP1L', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP6V0A2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP6V0A4', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ATP6V0D2', '0', '0', '0', '0', '10', '0', '10', '1', '1\n']
['ATP6V0E2', '1', '0', '0', '1', '53', '0', '53', '0.391370530903366', '1\n']
['ATP6V1B1', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['ATP6V1C2', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['ATP6V1D', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['ATP6V1E2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP7B', '1', '0', '0', '1', '25', '0', '25', '0.212623487898758', '1\n']
['ATP8A2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ATP8B1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATP8B2', '2', '0', '0', '2', '5', '0', '5', '0.00170418490988962', '1\n']
['ATP8B3', '1', '0', '0', '1', '130', '0', '130', '0.700302623066991', '1\n']
['ATP8B4', '4', '0', '0', '4', '65', '0', '65', '0.00376390434428784', '1\n', 'ICGC_MB293']
['ATP9B', '2', '0', '0', '2', '3', '0', '3', '0.000821464138581235', '1\n']
['ATPAF1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATRAID', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['ATRIP', '0', '0', '0', '0', '9', '0', '9', '1', '1\n']
['ATRN', '0', '0', '0', '0', '331', '0', '331', '1', '1\n']
['ATRNL1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ATXN10', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ATXN2', '1', '0', '0', '1', '20', '0', '20', '0.175578762493543', '1\n']
['ATXN7', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AUNIP', '1', '0', '0', '1', '27', '0', '27', '0.226971459122783', '1\n']
['AURKA', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['AURKAIP1', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['AURKB', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AURKC', '2', '0', '0', '2', '137', '0', '137', '0.363725403525329', '1\n']
['AVEN', '1', '0', '0', '1', '73', '0', '73', '0.493641293321686', '1\n']
['AVIL', '3', '0', '0', '3', '2', '0', '2', '7.53776325222997e-06', '1\n']
['AVL9', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n', 'ICGC_MB293']
['AVPR1A', '2', '0', '0', '2', '139', '0', '139', '0.370269908726943', '1\n']
['AVPR1B', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AXDND1', '2', '0', '0', '2', '120', '0', '120', '0.307196320298525', '1\n']
['AXIN2', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AZI1', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['AZI2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['B3GALNT2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['B3GALT1', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['B3GALT5', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['B3GALT6', '1', '0', '0', '1', '31', '0', '31', '0.254888505333937', '1\n']
['B3GALTL', '1', '0', '0', '1', '175', '0', '175', '0.801947041890009', '1\n', 'ICGC_MB289', 'ICGC_MB131', 'ICGC_MB217']
['B3GAT2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['B3GAT3', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['B3GNT4', '2', '0', '0', '2', '67', '0', '67', '0.131741702737261', '1\n']
['B3GNT7', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['B3GNT8', '1', '0', '0', '1', '16', '0', '16', '0.144693199608077', '1\n']
['B3GNT9', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['B3GNTL1', '0', '0', '0', '0', '66', '0', '66', '1', '1\n']
['B4GALNT1', '1', '0', '0', '1', '47', '0', '47', '0.356840477541389', '1\n']
['B4GALNT2', '2', '0', '0', '2', '419', '0', '419', '0.898493107324765', '1\n']
['B4GALNT3', '1', '0', '0', '1', '74', '0', '74', '0.498277952114411', '1\n']
['B4GALNT4', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['B4GALT2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['B4GALT3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['B4GALT7', '3', '0', '0', '3', '66', '0', '66', '0.0256234975188497', '1\n']
['B9D1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BABAM1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BACE2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BAG2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BAG4', '1', '0', '0', '1', '125', '0', '125', '0.686189329443418', '1\n']
['BAG5', '2', '0', '0', '2', '1', '0', '1', '0.000249464731258956', '1\n']
['BAG6', '2', '0', '0', '2', '22', '0', '22', '0.0202097705438734', '1\n']
['BAHD1', '0', '0', '0', '0', '111', '0', '111', '1', '1\n']
['BAI1', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n']
['BAI2', '3', '0', '0', '3', '0', '0', '0', '7.64198857496049e-07', '1\n']
['BAI3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BAIAP2L2', '2', '0', '0', '2', '7', '0', '7', '0.00288613642849814', '1\n']
['BAIAP3', '2', '0', '0', '2', '13', '0', '13', '0.00811714676948839', '1\n']
['BANK1', '3', '0', '0', '3', '44', '0', '44', '0.00918750776701039', '1\n']
['BARD1', '1', '0', '0', '1', '7', '0', '7', '0.0709082307103203', '1\n']
['BATF', '0', '0', '0', '0', '9', '0', '9', '1', '1\n']
['BATF2', '1', '0', '0', '1', '5', '0', '5', '0.0536666061554807', '1\n']
['BAZ1A', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BAZ2A', '3', '0', '0', '3', '129', '0', '129', '0.121343218996311', '1\n']
['BAZ2B', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BBOX1', '0', '0', '0', '0', '40', '0', '40', '1', '1\n']
['BBS1', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BBS10', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n']
['BBS12', '2', '0', '0', '2', '7', '0', '7', '0.00288613642849814', '1\n']
['BBS2', '2', '0', '0', '2', '61', '0', '61', '0.11355731919741', '1\n']
['BBS4', '1', '0', '0', '1', '90', '0', '90', '0.566951060335738', '1\n']
['BBS5', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BBS7', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['BBS9', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['BCAM', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['BCAN', '2', '0', '0', '2', '1', '0', '1', '0.000249464731258956', '1\n']
['BCAP29', '0', '0', '0', '0', '16', '0', '16', '1', '1\n']
['BCAR1', '1', '0', '0', '1', '141', '0', '141', '0.729159610092266', '1\n']
['BCAR3', '3', '0', '0', '3', '12', '0', '12', '0.000320269939772179', '1\n']
['BCAS1', '2', '0', '0', '2', '62', '0', '62', '0.116540908211144', '1\n']
['BCAS4', '1', '0', '0', '1', '53', '0', '53', '0.391370530903366', '1\n']
['BCAT1', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BCCIP', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['BCDIN3D', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['BCHE', '1', '0', '0', '1', '24', '0', '24', '0.205350037578284', '1\n']
['BCKDHA', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BCKDHB', '0', '0', '0', '0', '7', '0', '7', '1', '1\n']
['BCKDK', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BCL10', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BCL2L12', '1', '0', '0', '1', '118', '0', '118', '0.665308307468491', '1\n']
['BCL2L14', '0', '0', '0', '0', '0', '0', '0', '1', '1\n', 'ICGC_MB94']
['BCL2L15', '2', '0', '0', '2', '91', '0', '91', '0.209388167601086', '1\n']
['BCL7C', '1', '0', '0', '1', '50', '0', '50', '0.374343450868727', '1\n']
['BCL9', '0', '0', '0', '0', '9', '0', '9', '1', '1\n']
['BCLAF1', '1', '0', '0', '1', '213', '0', '213', '0.860424204750459', '1\n']
['BCMO1', '3', '0', '0', '3', '8', '0', '8', '0.000119362358871881', '1\n']
['BCO2', '3', '0', '0', '3', '181', '0', '181', '0.238052088640808', '1\n']
['BCR', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['BCS1L', '1', '0', '0', '1', '19', '0', '19', '0.167963437741586', '1\n']
['BDH1', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['BDH2', '0', '0', '0', '0', '26', '0', '26', '1', '1\n']
['BDNF', '1', '0', '0', '1', '163', '0', '163', '0.778811821394857', '1\n']
['BDP1', '3', '0', '0', '3', '222', '0', '222', '0.339370425431243', '1\n']
['BEAN1', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['BECN1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BEND6', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n', 'ICGC_MB272']
['BEST1', '0', '0', '0', '0', '17', '0', '17', '1', '1\n']
['BEST2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BEST3', '3', '0', '0', '3', '44', '0', '44', '0.00918750776701039', '1\n']
['BET1', '1', '0', '0', '1', '27', '0', '27', '0.226971459122783', '1\n']
['BFAR', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BFSP2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BGLAP', '1', '0', '0', '1', '45', '0', '45', '0.344900896642481', '1\n']
['BHLHA9', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BHLHE41', '0', '0', '0', '0', '48', '0', '48', '1', '1\n']
['BHMT', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BHMT2', '2', '0', '0', '2', '327', '0', '327', '0.804231771653452', '1\n']
['BICD2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BID', '1', '0', '0', '1', '20', '0', '20', '0.175578762493543', '1\n']
['BIN1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BIN3', '1', '0', '0', '1', '6', '0', '6', '0.0623270096964126', '1\n']
['BIRC6', '1', '0', '0', '1', '18', '0', '18', '0.160277835299206', '1\n']
['BIRC7', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BIVM', '0', '0', '0', '0', '8', '0', '8', '1', '1\n']
['BIVM-ERCC5', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BLK', '1', '0', '0', '1', '40', '0', '40', '0.314074172283229', '1\n']
['BLM', '2', '0', '0', '2', '16', '0', '16', '0.0116153701258641', '1\n', '196865']
['BLOC1S1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BLOC1S4', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['BLVRB', '1', '0', '0', '1', '15', '0', '15', '0.136792852516357', '1\n']
['BLZF1', '1', '0', '0', '1', '4', '0', '4', '0.0449262901275587', '1\n']
['BMP1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BMP2K', '0', '0', '0', '0', '5', '0', '5', '1', '1\n']
['BMP8B', '0', '0', '0', '0', '6', '0', '6', '1', '1\n']
['BMPER', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BMPR1B', '0', '0', '0', '0', '6', '0', '6', '1', '1\n', 'ICGC_MB307']
['BMPR2', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['BNIP1', '3', '0', '0', '3', '109', '0', '109', '0.0840049913504404', '1\n']
['BNIP2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BNIP3', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BNIPL', '2', '0', '0', '2', '4', '0', '4', '0.00122470998794798', '1\n']
['BOC', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BOD1', '1', '0', '0', '1', '39', '0', '39', '0.307737058947684', '1\n']
['BOD1L1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BOK', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['BOLA3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BOLL', '0', '0', '0', '0', '4', '0', '4', '1', '1\n']
['BORA', '1', '0', '0', '1', '54', '0', '54', '0.396942714749826', '1\n']
['BPHL', '0', '0', '0', '0', '40', '0', '40', '1', '1\n']
['BPI', '2', '0', '0', '2', '53', '0', '53', '0.0904726031944822', '1\n']
['BPIFA1', '1', '0', '0', '1', '70', '0', '70', '0.47947287874631', '1\n']
['BPIFA2', '3', '0', '0', '3', '705', '0', '705', '0.957384025647927', '1\n']
['BPIFA3', '2', '0', '0', '2', '697', '0', '697', '0.988099707712594', '1\n']
['BPIFB2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BPIFB3', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BPIFB4', '1', '0', '0', '1', '35', '0', '35', '0.281798268177142', '1\n']
['BPIFB6', '4', '0', '0', '4', '590', '0', '590', '0.792938250314178', '1\n']
['BPIFC', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n', 'ICGC_MB236']
['BRAP', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BRAT1', '4', '0', '0', '4', '91', '0', '91', '0.0115125523270226', '1\n']
['BRCA1', '0', '0', '0', '0', '46', '0', '46', '1', '1\n']
['BRCA2', '12', '4', '0', '16', '42', '0', '42', '7.82399257564512e-14', '6.97378723518403e-09\n']
['BRD2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BRD8', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BRD9', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BRDT', '0', '0', '0', '0', '5', '0', '5', '1', '1\n']
['BRF2', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['BRICD5', '5', '0', '0', '5', '63', '0', '63', '0.000411442606524587', '1\n']
['BRINP3', '0', '0', '0', '0', '17', '0', '17', '1', '1\n']
['BRIP1', '2', '0', '0', '2', '41', '0', '41', '0.0590407504002682', '1\n']
['BRIX1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BRMS1', '2', '0', '0', '2', '7', '0', '7', '0.00288613642849814', '1\n']
['BROX', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BRSK2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BRWD1', '1', '0', '0', '1', '47', '0', '47', '0.356840477541389', '1\n']
['BSG', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['BSND', '0', '0', '0', '0', '39', '0', '39', '1', '1\n']
['BSPH1', '3', '0', '0', '3', '354', '0', '354', '0.635467110759683', '1\n']
['BSPRY', '2', '0', '0', '2', '8', '0', '8', '0.00358581920946871', '1\n']
['BST1', '1', '0', '0', '1', '53', '0', '53', '0.391370530903366', '1\n']
['BTAF1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BTBD16', '0', '0', '0', '0', '70', '0', '70', '1', '1\n']
['BTBD19', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['BTBD8', '2', '0', '0', '2', '1', '0', '1', '0.000249464731258956', '1\n']
['BTD', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BTG3', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['BTN1A1', '2', '0', '0', '2', '1', '0', '1', '0.000249464731258956', '1\n']
['BTN2A1', '5', '0', '0', '5', '176', '0', '176', '0.0261706414095845', '1\n']
['BTN2A2', '1', '0', '0', '1', '24', '0', '24', '0.205350037578284', '1\n']
['BTN3A1', '1', '0', '0', '1', '120', '0', '120', '0.671412066059284', '1\n']
['BTN3A2', '1', '0', '0', '1', '7', '0', '7', '0.0709082307103203', '1\n']
['BTN3A3', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BTNL2', '3', '0', '0', '3', '558', '0', '558', '0.887868448111266', '1\n']
['BTNL3', '0', '0', '0', '0', '109', '0', '109', '1', '1\n']
['BTNL8', '1', '0', '0', '1', '121', '0', '121', '0.674422113544911', '1\n']
['BTNL9', '1', '0', '0', '1', '51', '0', '51', '0.380071375530197', '1\n']
['BTRC', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['BUB1', '2', '0', '0', '2', '2', '0', '2', '0.000495893588449632', '1\n']
['BUB1B', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['BVES', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['BZW2', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C10orf10', '1', '0', '0', '1', '15', '0', '15', '0.136792852516357', '1\n']
['C10orf107', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C10orf11', '0', '0', '0', '0', '16', '0', '16', '1', '1\n']
['C10orf113', '1', '0', '0', '1', '16', '0', '16', '0.144693199608077', '1\n']
['C10orf118', '2', '1', '0', '3', '2', '0', '2', '0.000495893588449632', '0.009151065341517\n']
['C10orf120', '1', '0', '0', '1', '18', '0', '18', '0.160277835299206', '1\n']
['C10orf126', '1', '0', '0', '1', '18', '0', '18', '0.160277835299206', '1\n']
['C10orf128', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C10orf129', '1', '0', '0', '1', '405', '0', '405', '0.976220981671582', '1\n']
['C10orf2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['C10orf40', '1', '0', '0', '1', '34', '0', '34', '0.275163251789021', '1\n']
['C10orf53', '2', '0', '0', '2', '96', '0', '96', '0.226154414739167', '1\n']
['C10orf54', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['C10orf55', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C10orf62', '0', '0', '0', '0', '5', '0', '5', '1', '1\n']
['C10orf67', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['C10orf71', '5', '0', '0', '5', '34', '0', '34', '2.82785521597477e-05', '1\n']
['C10orf82', '1', '0', '0', '1', '76', '0', '76', '0.507424403666431', '1\n']
['C10orf88', '1', '0', '0', '1', '15', '0', '15', '0.136792852516357', '1\n']
['C10orf90', '2', '0', '0', '2', '751', '0', '751', '0.992292263529567', '1\n']
['C10orf95', '2', '0', '0', '2', '4', '0', '4', '0.00122470998794798', '1\n']
['C10orf99', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['C11orf30', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['C11orf31', '0', '0', '0', '0', '18', '0', '18', '1', '1\n']
['C11orf35', '3', '0', '0', '3', '20', '0', '20', '0.00118040840990899', '1\n']
['C11orf40', '4', '0', '0', '4', '153', '0', '153', '0.0569842315939083', '1\n']
['C11orf45', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['C11orf48', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['C11orf49', '3', '0', '0', '3', '52', '0', '52', '0.0140875205477827', '1\n', 'ICGC_MB185']
['C11orf53', '1', '0', '0', '1', '88', '0', '88', '0.558908959127876', '1\n']
['C11orf54', '1', '0', '0', '1', '9', '0', '9', '0.0878360117495567', '1\n']
['C11orf63', '1', '0', '0', '1', '12', '0', '12', '0.112651683545657', '1\n']
['C11orf65', '5', '0', '0', '5', '222', '0', '222', '0.0588554227199066', '1\n', '196865']
['C11orf70', '2', '0', '0', '2', '2', '0', '2', '0.000495893588449632', '1\n']
['C11orf71', '2', '0', '0', '2', '524', '0', '524', '0.953810546555973', '1\n']
['C11orf80', '0', '0', '0', '0', '32', '0', '32', '1', '1\n']
['C11orf82', '2', '0', '0', '2', '170', '0', '170', '0.467620824737931', '1\n']
['C11orf88', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C11orf96', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C12orf10', '1', '0', '0', '1', '13', '0', '13', '0.120772769726693', '1\n']
['C12orf23', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['C12orf29', '3', '0', '0', '3', '15', '0', '15', '0.000562730432581123', '1\n']
['C12orf39', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['C12orf4', '0', '0', '0', '0', '7', '0', '7', '1', '1\n']
['C12orf40', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['C12orf42', '2', '0', '0', '2', '102', '0', '102', '0.246389649360666', '1\n']
['C12orf44', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['C12orf45', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['C12orf54', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['C12orf55', '7', '0', '0', '7', '60', '0', '60', '2.84322004927766e-06', '1\n']
['C12orf56', '4', '0', '0', '4', '303', '0', '303', '0.309893358181247', '1\n']
['C12orf61', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['C12orf65', '1', '0', '0', '1', '45', '0', '45', '0.344900896642481', '1\n']
['C12orf71', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['C12orf73', '0', '0', '0', '0', '4', '0', '4', '1', '1\n']
['C12orf79', '1', '0', '0', '1', '59', '0', '59', '0.424048369894871', '1\n']
['C14orf1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['C14orf105', '8', '0', '0', '8', '272', '0', '272', '0.00462143171540538', '1\n']
['C14orf119', '2', '0', '0', '2', '2', '0', '2', '0.000495893588449632', '1\n']
['C14orf159', '1', '0', '0', '1', '13', '0', '13', '0.120772769726693', '1\n']
['C14orf164', '1', '0', '0', '1', '36', '0', '36', '0.28837260519531', '1\n']
['C14orf166B', '4', '0', '0', '4', '362', '0', '362', '0.43099514585586', '1\n']
['C14orf177', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n']
['C14orf178', '0', '0', '0', '0', '67', '0', '67', '1', '1\n']
['C14orf180', '2', '0', '0', '2', '377', '0', '377', '0.862373248967656', '1\n']
['C14orf182', '2', '0', '0', '2', '265', '0', '265', '0.702631945046215', '1\n']
['C14orf183', '1', '0', '0', '1', '473', '0', '473', '0.987303902399388', '1\n']
['C14orf23', '2', '0', '0', '2', '8324', '0', '8324', '1', '1\n']
